run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,0,65,10,30,70,0.08231869419642854,0.12270111428571394,
baseline-very_low-0-1,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,1,60,0,25,75,0.08231869419642854,0.12316057477678596,
baseline-very_low-0-2,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,2,50,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-0-3,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,3,70,15,30,60,0.08231869419642854,0.12213410937500017,
baseline-very_low-0-4,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,4,45,10,25,90,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-5,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,5,40,0,10,75,0.08231869419642854,0.0924272428571429,
baseline-very_low-0-6,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,6,60,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-7,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,7,30,10,20,5,0.08231869419642854,0.2032353142857144,
baseline-very_low-0-8,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,8,60,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-9,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,0,9,40,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-0,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,1,0,40,0,20,70,0.08231869419642854,0.12443794285714296,
baseline-very_low-1-1,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,1,1,60,0,20,75,0.08231869419642854,0.12373165714285722,
baseline-very_low-1-2,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,1,2,60,5,20,70,0.08231869419642854,0.12436883973214302,
baseline-very_low-1-3,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,1,3,60,5,20,70,0.08231869419642854,0.12436883973214302,
baseline-very_low-1-4,sweep1_p0,s01_health,google/gemini-2.5-flash,baseline,very_low,1,4,40,0,20,75,0.08231869419642854,0.12373165714285722,
