run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
alpha_negligible-very_low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,0,35,15,10,85,0.017743860160999998,0.1163182250000001,
alpha_negligible-very_low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,1,35,20,5,80,0.017743860160999998,0.053191418303571415,
alpha_negligible-very_low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,2,30,20,10,80,0.017743860160999998,0.11882619999999998,
alpha_negligible-very_low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,3,25,10,5,70,0.017743860160999998,0.03476265401785716,
alpha_negligible-very_low-0-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,4,20,10,5,85,0.017743860160999998,0.03141440334821431,
alpha_negligible-very_low-0-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,5,30,20,5,85,0.017743860160999998,0.052159940624999984,
alpha_negligible-very_low-0-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,6,35,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-0-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,7,30,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-0-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,8,30,10,5,85,0.017743860160999998,0.03141440334821431,
alpha_negligible-very_low-0-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,0,9,20,10,5,85,0.017743860160999998,0.03141440334821431,
alpha_negligible-very_low-1-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,0,30,20,5,85,0.017743860160999998,0.052159940624999984,
alpha_negligible-very_low-1-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,1,30,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-1-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,2,25,20,10,80,0.017743860160999998,0.11882619999999998,
alpha_negligible-very_low-1-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,3,15,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-1-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,4,15,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-1-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,5,25,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-1-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,6,20,20,10,80,0.017743860160999998,0.11882619999999998,
alpha_negligible-very_low-1-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,7,20,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-1-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,8,20,10,5,85,0.017743860160999998,0.03141440334821431,
alpha_negligible-very_low-1-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,1,9,25,20,5,80,0.017743860160999998,0.053191418303571415,
alpha_negligible-very_low-2-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,0,35,10,5,70,0.017743860160999998,0.03476265401785716,
alpha_negligible-very_low-2-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,1,15,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-2-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,2,30,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-2-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,3,10,5,1,70,0.017743860160999998,0.002014555487285713,
alpha_negligible-very_low-2-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,4,30,5,10,80,0.017743860160999998,0.10243363125000005,
alpha_negligible-very_low-2-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,5,15,15,10,70,0.017743860160999998,0.11842041250000009,
alpha_negligible-very_low-2-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,6,25,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-2-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,7,20,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-2-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,8,25,10,5,80,0.017743860160999998,0.03182277901785717,
alpha_negligible-very_low-2-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,very_low,2,9,20,10,5,85,0.017743860160999998,0.03141440334821431,
alpha_negligible-low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,0,35,30,10,80,0.05981996020557142,0.11419940000000012,
alpha_negligible-low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,1,30,30,10,70,0.05981996020557142,0.1143856000000001,
alpha_negligible-low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,2,15,20,5,85,0.05981996020557142,0.052159940624999984,
alpha_negligible-low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,3,25,30,5,70,0.05981996020557142,0.07556553750000003,
alpha_negligible-low-0-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,4,20,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-0-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,5,30,30,10,80,0.05981996020557142,0.11419940000000012,
alpha_negligible-low-0-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,6,15,30,5,85,0.05981996020557142,0.07084129062500004,
alpha_negligible-low-0-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,7,15,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-0-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,8,15,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-0-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,0,9,25,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-1-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,0,30,30,5,70,0.05981996020557142,0.07556553750000003,
alpha_negligible-low-1-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,1,20,30,5,85,0.05981996020557142,0.07084129062500004,
alpha_negligible-low-1-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,2,25,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-1-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,3,25,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-1-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,4,25,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-1-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,5,20,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-1-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,6,30,25,5,80,0.05981996020557142,0.06326042008928569,
alpha_negligible-low-1-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,7,30,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-1-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,8,30,30,10,80,0.05981996020557142,0.11419940000000012,
alpha_negligible-low-1-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,1,9,25,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-2-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,0,35,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-2-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,1,30,30,5,85,0.05981996020557142,0.07084129062500004,
alpha_negligible-low-2-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,2,35,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-2-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,3,30,30,5,85,0.05981996020557142,0.07084129062500004,
alpha_negligible-low-2-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,4,30,30,10,85,0.05981996020557142,0.11419940000000012,
alpha_negligible-low-2-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,5,15,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-2-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,6,25,30,5,80,0.05981996020557142,0.07153061116071431,
alpha_negligible-low-2-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,7,30,30,5,85,0.05981996020557142,0.07084129062500004,
alpha_negligible-low-2-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,8,40,30,10,80,0.05981996020557142,0.11419940000000012,
alpha_negligible-low-2-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,low,2,9,30,30,5,85,0.05981996020557142,0.07084129062500004,
alpha_negligible-somewhat_low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,0,20,40,5,70,0.13023625502242836,0.08454736249999993,
alpha_negligible-somewhat_low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,1,25,40,10,80,0.13023625502242836,0.10084114285714289,
alpha_negligible-somewhat_low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,2,25,60,5,80,0.13023625502242836,0.05570959062499999,
alpha_negligible-somewhat_low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,3,35,40,5,80,0.13023625502242836,0.08002501562499997,
alpha_negligible-somewhat_low-0-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,4,30,40,5,50,0.13023625502242836,0.10448861294642857,
alpha_negligible-somewhat_low-0-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,5,25,40,10,80,0.13023625502242836,0.10084114285714289,
alpha_negligible-somewhat_low-0-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,6,30,40,5,80,0.13023625502242836,0.08002501562499997,
alpha_negligible-somewhat_low-0-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,7,30,40,5,70,0.13023625502242836,0.08454736249999993,
alpha_negligible-somewhat_low-0-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,8,20,40,5,75,0.13023625502242836,0.08183820290178566,
alpha_negligible-somewhat_low-0-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,0,9,15,40,5,70,0.13023625502242836,0.08454736249999993,
alpha_negligible-somewhat_low-1-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_negligible,somewhat_low,1,0,30,60,10,70,0.13023625502242836,0.055983542857142854,
