run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
alpha_strong-very_low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,0,40,20,30,80,0.14211242857142875,0.12077348571428567,
alpha_strong-very_low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,1,35,20,40,75,0.14211242857142875,0.12077348571428573,
alpha_strong-very_low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,2,40,20,35,70,0.14211242857142875,0.12077348571428562,
alpha_strong-very_low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,3,35,20,30,80,0.14211242857142875,0.12077348571428567,
alpha_strong-very_low-0-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,4,35,10,30,80,0.14211242857142875,0.12270111428571394,
alpha_strong-very_low-0-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,5,40,10,25,80,0.14211242857142875,0.12270111428571391,
alpha_strong-very_low-0-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,6,35,20,50,80,0.14211242857142875,0.12077348571428576,
alpha_strong-very_low-0-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,7,30,20,35,70,0.14211242857142875,0.12077348571428562,
alpha_strong-very_low-0-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,8,40,20,35,70,0.14211242857142875,0.12077348571428562,
alpha_strong-very_low-0-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,0,9,40,10,25,80,0.14211242857142875,0.12270111428571391,
alpha_strong-very_low-1-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,1,0,35,20,30,80,0.14211242857142875,0.12077348571428567,
alpha_strong-very_low-1-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,1,1,30,20,40,70,0.14211242857142875,0.12077348571428573,
alpha_strong-very_low-1-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,1,2,35,30,40,80,0.14211242857142875,0.11419940000000006,
alpha_strong-very_low-1-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,1,3,35,20,40,70,0.14211242857142875,0.12077348571428573,
alpha_strong-very_low-1-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,alpha_strong,very_low,1,4,35,30,25,80,0.14211242857142875,0.11419940000000017,
