run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
cost_trivial-very_low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,0,30,20,25,5,0.1815516334821427,0.178239293080357,
cost_trivial-very_low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,1,40,20,25,5,0.1815516334821427,0.178239293080357,
cost_trivial-very_low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,2,45,20,30,5,0.1815516334821427,0.16429130000000003,
cost_trivial-very_low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,3,30,20,30,5,0.1815516334821427,0.16429130000000003,
cost_trivial-very_low-0-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,4,40,20,30,5,0.1815516334821427,0.16429130000000003,
cost_trivial-very_low-0-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,5,35,20,30,5,0.1815516334821427,0.16429130000000003,
cost_trivial-very_low-0-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,6,40,10,25,5,0.1815516334821427,0.18522156808035675,
cost_trivial-very_low-0-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,7,40,20,30,5,0.1815516334821427,0.16429130000000003,
cost_trivial-very_low-0-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,8,35,20,30,10,0.1815516334821427,0.15539077142857144,
cost_trivial-very_low-0-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,0,9,40,20,25,5,0.1815516334821427,0.178239293080357,
cost_trivial-very_low-1-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,1,0,35,10,20,5,0.1815516334821427,0.2032353142857144,
cost_trivial-very_low-1-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,1,1,25,10,30,5,0.1815516334821427,0.17693369999999953,
cost_trivial-very_low-1-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,1,2,35,10,25,5,0.1815516334821427,0.18522156808035675,
cost_trivial-very_low-1-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,1,3,35,10,30,10,0.1815516334821427,0.16705748571428522,
cost_trivial-very_low-1-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,1,4,30,10,20,5,0.1815516334821427,0.2032353142857144,
cost_trivial-very_low-1-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,cost_trivial,very_low,1,5,25,10,30,5,0.1815516334821427,0.17693369999999953,
