run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
stakes_high-very_low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,0,35,20,30,80,0.1601005106026784,0.13224228571428517,
stakes_high-very_low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,1,35,10,20,85,0.1601005106026784,0.1343529642857145,
stakes_high-very_low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,2,35,20,30,80,0.1601005106026784,0.13224228571428517,
stakes_high-very_low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,3,40,10,25,80,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-0-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,4,35,20,15,80,0.1601005106026784,0.13224228571428556,
stakes_high-very_low-0-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,5,35,20,30,70,0.1601005106026784,0.13224228571428517,
stakes_high-very_low-0-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,6,35,20,30,70,0.1601005106026784,0.13224228571428517,
stakes_high-very_low-0-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,7,35,10,20,70,0.1601005106026784,0.13515046428571448,
stakes_high-very_low-0-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,8,30,20,35,70,0.1601005106026784,0.13224228571428542,
stakes_high-very_low-0-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,0,9,40,20,30,80,0.1601005106026784,0.13224228571428517,
stakes_high-very_low-1-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,0,35,20,15,60,0.1601005106026784,0.13680737239583313,
stakes_high-very_low-1-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,1,30,20,15,80,0.1601005106026784,0.13224228571428556,
stakes_high-very_low-1-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,2,30,10,25,80,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-1-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,3,25,20,30,80,0.1601005106026784,0.13224228571428517,
stakes_high-very_low-1-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,4,30,20,15,85,0.1601005106026784,0.13224228571428556,
stakes_high-very_low-1-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,5,15,20,30,70,0.1601005106026784,0.13224228571428517,
stakes_high-very_low-1-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,6,30,10,25,80,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-1-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,7,25,20,15,70,0.1601005106026784,0.13224228571428556,
stakes_high-very_low-1-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,8,30,10,20,80,0.1601005106026784,0.1343529642857145,
stakes_high-very_low-1-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,1,9,45,30,40,85,0.1601005106026784,0.12504391666666675,
stakes_high-very_low-2-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,0,25,10,30,80,0.1601005106026784,0.13435296428571428,
stakes_high-very_low-2-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,1,35,10,25,70,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-2-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,2,20,10,25,80,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-2-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,3,25,10,15,80,0.1601005106026784,0.13435296428571428,
stakes_high-very_low-2-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,4,30,10,25,80,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-2-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,5,40,10,25,70,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-2-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,6,35,10,25,70,0.1601005106026784,0.13435296428571455,
stakes_high-very_low-2-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,7,25,10,30,80,0.1601005106026784,0.13435296428571428,
stakes_high-very_low-2-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,8,40,10,30,70,0.1601005106026784,0.13435296428571428,
stakes_high-very_low-2-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,very_low,2,9,35,20,15,70,0.1601005106026784,0.13224228571428556,
stakes_high-low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,low,0,0,30,30,25,75,0.22430123530505927,0.12504391666666673,
stakes_high-low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,low,0,1,35,30,25,70,0.22430123530505927,0.12504391666666673,
stakes_high-low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,low,0,2,25,30,20,80,0.22430123530505927,0.12504391666666675,
stakes_high-low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,stakes_high,low,0,3,35,30,20,75,0.22430123530505927,0.12504391666666675,
