run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
vote_yes-very_low-0-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,0,30,20,30,,0.06666625937499995,0.11070902857142871,
vote_yes-very_low-0-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,1,15,10,20,,0.06666625937499995,0.12090985714285708,
vote_yes-very_low-0-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,2,25,15,20,,0.06666625937499995,0.11704125848214295,
vote_yes-very_low-0-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,3,20,20,30,,0.06666625937499995,0.11070902857142871,
vote_yes-very_low-0-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,4,30,20,35,,0.06666625937499995,0.11070902857142864,
vote_yes-very_low-0-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,5,20,10,15,,0.06666625937499995,0.12090985714285721,
vote_yes-very_low-0-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,6,25,20,30,,0.06666625937499995,0.11070902857142871,
vote_yes-very_low-0-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,7,20,20,30,,0.06666625937499995,0.11070902857142871,
vote_yes-very_low-0-8,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,8,30,25,30,,0.06666625937499995,0.10204101562499987,
vote_yes-very_low-0-9,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,0,9,35,20,30,,0.06666625937499995,0.11070902857142871,
vote_yes-very_low-1-0,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,0,25,30,40,,0.06666625937499995,0.09144380000000005,
vote_yes-very_low-1-1,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,1,15,10,25,,0.06666625937499995,0.12090985714285678,
vote_yes-very_low-1-2,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,2,15,10,20,,0.06666625937499995,0.12090985714285708,
vote_yes-very_low-1-3,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,3,20,10,25,,0.06666625937499995,0.12090985714285678,
vote_yes-very_low-1-4,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,4,20,30,25,,0.06666625937499995,0.09144379999999998,
vote_yes-very_low-1-5,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,5,15,10,25,,0.06666625937499995,0.12090985714285678,
vote_yes-very_low-1-6,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,6,40,10,25,,0.06666625937499995,0.12090985714285678,
vote_yes-very_low-1-7,sweep1_p0,s01_health,qwen/qwen3-235b-a22b-2507,vote_yes,very_low,1,7,35,15,30,,0.06666625937499995,0.1170412584821427,
