run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,0,60,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-1,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,1,20,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-0-2,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,2,70,10,20,30,0.08231869419642854,0.15251477142857142,
baseline-very_low-0-3,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,3,65,5,20,75,0.08231869419642854,0.12315921696428589,
baseline-very_low-0-4,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,4,70,5,20,50,0.08231869419642854,0.13090614955357152,
baseline-very_low-0-5,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,5,70,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-6,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,6,55,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-7,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,7,55,5,25,50,0.08231869419642854,0.13051992767857135,
baseline-very_low-0-8,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,8,60,5,20,40,0.08231869419642854,0.14130247991071432,
baseline-very_low-0-9,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,0,9,40,10,15,60,0.08231869419642854,0.12674412321428577,
baseline-very_low-1-0,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,0,70,10,20,75,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-1,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,1,55,0,25,75,0.08231869419642854,0.12316057477678596,
baseline-very_low-1-2,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,2,65,0,15,75,0.08231869419642854,0.12358863191964295,
baseline-very_low-1-3,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,3,70,5,15,85,0.08231869419642854,0.12284652723214298,
baseline-very_low-1-4,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,4,60,5,25,75,0.08231869419642854,0.12284652723214287,
baseline-very_low-1-5,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,5,65,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-1-6,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,6,65,5,15,70,0.08231869419642854,0.12443596785714298,
baseline-very_low-1-7,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,7,40,0,20,75,0.08231869419642854,0.12373165714285722,
baseline-very_low-1-8,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,8,60,0,20,75,0.08231869419642854,0.12373165714285722,
baseline-very_low-1-9,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,1,9,60,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-2-0,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,0,60,15,20,75,0.08231869419642854,0.12213410937500001,
baseline-very_low-2-1,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,1,75,10,25,50,0.08231869419642854,0.1305523566964282,
baseline-very_low-2-2,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,2,70,5,20,75,0.08231869419642854,0.12315921696428589,
baseline-very_low-2-3,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,3,65,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-2-4,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,4,65,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-2-5,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,5,40,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-2-6,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,6,75,5,20,70,0.08231869419642854,0.12436883973214302,
baseline-very_low-2-7,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,7,70,10,15,60,0.08231869419642854,0.12674412321428577,
baseline-very_low-2-8,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,8,70,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-2-9,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,very_low,2,9,60,5,15,75,0.08231869419642854,0.12373029933035726,
baseline-low-0-0,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,0,70,15,30,75,0.10815333794642855,0.12213410937500017,
baseline-low-0-1,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,1,75,20,20,70,0.10815333794642855,0.12077348571428562,
baseline-low-0-2,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,2,60,10,15,80,0.10815333794642855,0.12270111428571433,
baseline-low-0-3,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,3,65,10,20,70,0.10815333794642855,0.12318991428571423,
baseline-low-0-4,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,4,75,20,10,70,0.10815333794642855,0.12088399999999998,
baseline-low-0-5,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,5,60,15,20,30,0.10815333794642855,0.1501493424107144,
baseline-low-0-6,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,6,65,10,15,40,0.10815333794642855,0.1434997687499999,
baseline-low-0-7,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,7,65,15,15,70,0.10815333794642855,0.1230844250000001,
baseline-low-0-8,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,8,45,20,25,75,0.10815333794642855,0.1207734857142855,
baseline-low-0-9,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,0,9,65,25,15,75,0.10815333794642855,0.11823800223214273,
baseline-low-1-0,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,0,65,20,30,10,0.10815333794642855,0.15539077142857144,
baseline-low-1-1,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,1,85,20,10,75,0.10815333794642855,0.1191787857142857,
baseline-low-1-2,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,2,70,20,20,30,0.10815333794642855,0.14414537142857137,
baseline-low-1-3,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,3,65,25,15,30,0.10815333794642855,0.1503056973214285,
baseline-low-1-4,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,4,75,20,20,70,0.10815333794642855,0.12077348571428562,
baseline-low-1-5,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,5,70,20,25,70,0.10815333794642855,0.1207734857142855,
baseline-low-1-6,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,6,65,20,15,80,0.10815333794642855,0.12077348571428562,
baseline-low-1-7,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,7,65,20,20,60,0.10815333794642855,0.12187611428571422,
baseline-low-1-8,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,8,50,20,20,75,0.10815333794642855,0.12077348571428562,
baseline-low-1-9,sweep1_p0,s02_grant,google/gemini-2.5-flash,baseline,low,1,9,70,30,15,75,0.10815333794642855,0.11419940000000006,
