run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,0,20,10,15,90,0.08231869419642854,0.12270111428571433,
baseline-very_low-0-1,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,1,15,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-2,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,2,25,10,30,60,0.08231869419642854,0.12270111428571394,
baseline-very_low-0-3,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,3,35,10,25,70,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-4,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,4,35,10,20,70,0.08231869419642854,0.12318991428571423,
baseline-very_low-0-5,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,5,30,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-6,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,6,25,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-0-7,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,7,35,10,25,60,0.08231869419642854,0.12552885892857107,
baseline-very_low-0-8,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,8,25,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-0-9,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,9,25,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-1-0,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,0,25,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-1-1,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,1,20,30,30,70,0.08231869419642854,0.11419940000000031,
baseline-very_low-1-2,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,2,30,20,25,70,0.08231869419642854,0.1207734857142855,
baseline-very_low-1-3,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,3,30,20,40,85,0.08231869419642854,0.12077348571428573,
baseline-very_low-1-4,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,4,35,25,25,75,0.08231869419642854,0.11823800223214247,
baseline-very_low-1-5,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,5,25,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-1-6,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,6,15,10,25,70,0.08231869419642854,0.12270111428571391,
baseline-very_low-1-7,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,7,25,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-1-8,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,8,20,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-1-9,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,9,20,30,25,80,0.08231869419642854,0.11419940000000017,
baseline-very_low-2-0,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,0,15,95,20,85,0.08231869419642854,0.000273952232142859,
baseline-very_low-2-1,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,1,30,90,20,80,0.08231869419642854,0.0019472857142856946,
baseline-very_low-2-2,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,2,25,90,40,70,0.08231869419642854,0.0019472857142856946,
baseline-very_low-2-3,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,3,15,90,25,60,0.08231869419642854,0.0019472857142856946,
baseline-very_low-2-4,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,4,25,90,30,80,0.08231869419642854,0.0019472857142856946,
baseline-very_low-2-5,sweep1_p0,s02_grant,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,5,25,90,30,70,0.08231869419642854,0.0019472857142856946,
