run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,0,20,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-1,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,1,40,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-2,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,2,30,10,20,50,0.08231869419642854,0.1304590571428571,
baseline-very_low-0-3,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,3,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-4,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,4,40,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-5,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,5,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-6,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,6,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-7,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,7,40,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-0-8,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,8,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-9,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,0,9,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-0,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,0,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-1,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,1,20,5,10,80,0.08231869419642854,0.10243363125000005,
baseline-very_low-1-2,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,2,20,0,10,80,0.08231869419642854,0.09167357142857147,
baseline-very_low-1-3,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,3,40,5,20,80,0.08231869419642854,0.12284652723214301,
baseline-very_low-1-4,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,4,20,10,20,60,0.08231869419642854,0.12682448571428567,
baseline-very_low-1-5,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,5,20,5,20,80,0.08231869419642854,0.12284652723214301,
baseline-very_low-1-6,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,6,20,0,10,80,0.08231869419642854,0.09167357142857147,
baseline-very_low-1-7,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,7,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-8,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,8,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-9,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,1,9,20,5,10,80,0.08231869419642854,0.10243363125000005,
baseline-very_low-2-0,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,0,10,0,20,80,0.08231869419642854,0.1230253714285715,
baseline-very_low-2-1,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,1,20,10,20,40,0.08231869419642854,0.13952334285714282,
baseline-very_low-2-2,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,2,20,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-2-3,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,3,20,0,10,80,0.08231869419642854,0.09167357142857147,
baseline-very_low-2-4,sweep1_p0,s03_board,meta-llama/llama-3.3-70b-instruct,baseline,very_low,2,4,20,0,10,80,0.08231869419642854,0.09167357142857147,
