run_id,sweep,scenario,model,arm,level,phrasing_idx,rep,blameworthiness,inferred_probability,inferred_alpha,inferred_cost,oracle_at_reference,oracle_at_inferred,error
baseline-very_low-0-0,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,0,20,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-1,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,1,20,20,30,85,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-2,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,2,25,20,30,70,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-3,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,3,25,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-0-4,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,4,15,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-5,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,5,25,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-0-6,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,6,15,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-7,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,7,20,20,30,85,0.08231869419642854,0.12077348571428567,
baseline-very_low-0-8,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,8,20,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-0-9,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,0,9,30,20,30,85,0.08231869419642854,0.12077348571428567,
baseline-very_low-1-0,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,0,20,10,30,80,0.08231869419642854,0.12270111428571394,
baseline-very_low-1-1,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,1,20,10,25,70,0.08231869419642854,0.12270111428571391,
baseline-very_low-1-2,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,2,20,20,30,85,0.08231869419642854,0.12077348571428567,
baseline-very_low-1-3,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,3,15,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-4,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,4,20,20,30,85,0.08231869419642854,0.12077348571428567,
baseline-very_low-1-5,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,5,15,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-1-6,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,6,15,20,25,80,0.08231869419642854,0.1207734857142855,
baseline-very_low-1-7,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,7,15,10,30,85,0.08231869419642854,0.12270111428571394,
baseline-very_low-1-8,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,8,15,10,20,85,0.08231869419642854,0.12270111428571424,
baseline-very_low-1-9,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,1,9,20,10,25,80,0.08231869419642854,0.12270111428571391,
baseline-very_low-2-0,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,0,20,10,15,85,0.08231869419642854,0.12270111428571433,
baseline-very_low-2-1,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,1,30,20,30,80,0.08231869419642854,0.12077348571428567,
baseline-very_low-2-2,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,2,20,10,25,90,0.08231869419642854,0.12270111428571391,
baseline-very_low-2-3,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,3,20,20,30,85,0.08231869419642854,0.12077348571428567,
baseline-very_low-2-4,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,4,15,10,20,80,0.08231869419642854,0.12270111428571424,
baseline-very_low-2-5,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,5,15,20,25,80,0.08231869419642854,0.1207734857142855,
baseline-very_low-2-6,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,6,15,5,20,70,0.08231869419642854,0.12436883973214302,
baseline-very_low-2-7,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,7,15,20,30,85,0.08231869419642854,0.12077348571428567,
baseline-very_low-2-8,sweep1_p0,s03_board,qwen/qwen3-235b-a22b-2507,baseline,very_low,2,8,20,10,30,85,0.08231869419642854,0.12270111428571394,
